Generic Part Number	Device Description	Marketing Status	Literature Number	Literature Description
ATL431	2.5-V low-IQ adjustable precision shunt regulator	ACTIVE	SLVMD60	ATL431A TINA-TI TRANSIENT SPICE MODEL
BQ500101	NexFET Power Stage	ACTIVE	SLPM276	BQ500101 TINA-TI Transient Spice Model
BUF20800	18-CH Gamma Voltage Generator with Two Programmable VCOM Channels	ACTIVE	SBOM313A	INA271 TINA-TI Spice Model (Rev. A)
BUF20800-Q1	Automotive, 18-CH Gamma Voltage Generator with Two Programmable VCOM Channels	ACTIVE	SBOM313A	INA271 TINA-TI Spice Model (Rev. A)
BUF602	1000MHz,Wide Bandwidth, High-Speed, Closed Loop Buffer	ACTIVE	SBOMA38	BUF602 TINA-TI Spice Model
BUF634	250-mA high-speed buffer - see BUF634A for upgraded version	NRND	SBOM204B	BUF634 TINA-TI Spice Model (Rev. B)
BUF634A	210-MHz, 250-mA high-speed buffer	ACTIVE	SBOMAY2B	BUF634A TINA-TI SPICE Model (Rev. B)
BUF802	Wide-bandwidth, 2.3-nV/√Hz, JFET input buffer	PREVIEW	SBOMBQ8A	BUF802 TINA-TI Reference Circuit  (Rev. A)
CSD13202Q2	12-V, N channel NexFET™ power MOSFET, single SON 2 mm x 2 mm, 9.3  mOhm	ACTIVE	SLPM122	CSD13202Q2 TINA-TI Spice Model
CSD13303W1015	12-V, N channel NexFET™ power MOSFET, single WLP 1 mm x 1.5 mm, 20 mOhm	ACTIVE	SLPM104	CSD13303W1015 TINA-TI Spice Model
CSD13380F3	12-V, N channel NexFET™ power MOSFET, single LGA 0.6 mm x 0.7 mm, 76 mOhm, gate ESD protection	ACTIVE	SLPM258	CSD13380F3 TINA-TI Spice Model
CSD13381F4	12-V, N channel NexFET™ power MOSFET, single LGA 1 mm x  0.6mm, 180 mOhm, gate ESD protection	ACTIVE	SLPM196	CSD13381F4 TINA-TI Spice Model
CSD13385F5	12-V, N channel NexFET™ power MOSFET, single LGA 0.8 mm x 1.5 mm, 19 mOhm, gate ESD protection	ACTIVE	SLPM263	CSD13385F5 TINA-TI Spice Model
CSD15380F3	20-V, N channel NexFET™ power MOSFET, single LGA 0.6 mm x 0.7 mm, 1460 mOhm, gate ESD protection	ACTIVE	SLPM197	CSD15380F3 TINA-TI Spice Model
CSD15571Q2	20-V, N channel NexFET™ power MOSFET, single SON 2 mm x 2 mm, 19.2 mOhm	ACTIVE	SLPM213	CSD15571Q2 TINA-TI Spice Model
CSD16301Q2	25-V, N channel NexFET™ power MOSFET, single SON 2 mm x 2 mm, 29 mOhm	ACTIVE	SLLM058A	CSD16301Q2 TINA-TI Spice Model (Rev. A)
CSD16321Q5	25-V, N channel NexFET™ power MOSFET, single SON 5 mm x 6 mm, 2.6 mOhm	ACTIVE	SLIM043	CSD16321Q5 TINA-TI Spice Model
CSD16322Q5	25-V, N channel NexFET™ power MOSFET, single SON 5 mm x 6 mm, 5.8 mOhm	ACTIVE	SLLM067	CSD16322Q5 TINA-TI Spice Model
CSD16323Q3	25-V, N channel NexFET™ power MOSFET, single SON 3 mm x 3 mm, 5.5 mOhm	ACTIVE	SLIM044	CSD16323Q3 TINA-TI Spice Model
CSD16325Q5	25-V, N channel NexFET™ power MOSFET, single SON 5 mm x 6 mm, 2.2 mOhm	ACTIVE	SLIM144	CSD16325Q5 TINA-TI Spice Model
CSD16327Q3	25-V, N channel NexFET™ power MOSFET, single SON 3 mm x 3 mm, 4.8 mOhm	ACTIVE	SLPM198	CSD16327Q3 TINA-TI Spice Model
